_id;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
35;1;0;1;0;0;0;1;1;0;1;1;0,3934922843329556;;984,0;161,0;521,0;923,0;923,0;497,0;521,0;923,0;923,0;62,0;369,0;923,0;923,0;284,0;284,0;923,0;923,0;229,0;521,0;923,0;923,0;284,0;521,0;923,0;923,0;284,0;521,0;923,0;923,0;62,0;62,0;923,0;923,0;62,0;284,0;923,0;923,0;264,0;357,0;923,0;923,0
36;0;0;0;0;1;0;0;1;0;0;0;0,2971874525578367;512,0;512,0;512,0;512,0;512,0;725,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;725,0;512,0;512,0;311,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;725,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;512,0;725,0
37;1;1;1;1;1;1;1;1;1;0;0;0,42237950230969196;360,0;360,0;947,0;947,0;360,0;360,0;572,0;572,0;360,0;360,0;947,0;712,0;360,0;360,0;360,0;712,0;360,0;360,0;947,0;947,0;360,0;360,0;947,0;947,0;360,0;360,0;947,0;314,0;360,0;360,0;360,0;159,0;360,0;360,0;360,0;712,0;360,0;360,0;947,0;360,0;360,0;360,0
38;1;0;0;0;0;0;0;1;1;0;1;0,4460203679236902;593,0;593,0;952,0;952,0;952,0;952,0;130,0;952,0;593,0;593,0;593,0;130,0;87,0;593,0;952,0;593,0;87,0;87,0;886,0;579,0;952,0;87,0;130,0;579,0;87,0;593,0;852,0;952,0;593,0;87,0;952,0;852,0;593,0;87,0;952,0;593,0;87,0;87,0;952,0;12,0;952,0;593,0
39;0;1;0;1;1;1;0;0;0;1;1;0,2604741977187395;654,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0;148,0;255,0;148,0;148,0
40;1;1;0;1;1;0;0;1;1;1;1;0,4375982832261691;419,0;419,0;419,0;419,0;560,0;632,0;419,0;419,0;419,0;560,0;419,0;419,0;772,0;847,0;716,0;419,0;632,0;560,0;716,0;419,0;847,0;655,0;419,0;419,0;560,0;847,0;716,0;419,0;419,0;847,0;419,0;419,0;;847,0;716,0;77,0;179,0;560,0;419,0;77,0;560,0;419,0
41;0;0;1;1;1;1;0;1;0;0;0;0,313089629909187;;346,0;346,0;346,0;;;346,0;;;;346,0;;;;346,0;346,0;;;;346,0;;;346,0;;;;346,0;346,0;;;346,0;;;;346,0;;;;;346,0;;
42;0;0;1;1;1;1;1;1;0;1;0;0,36553567058006;;;;;;;128,0;;;;128,0;;;;;;;;;;;;128,0;;;;128,0;;;;128,0;;;;;;;;;;;
43;0;1;0;1;1;1;1;0;0;1;0;0,2665874283707033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0;0;0;1;0;0;0;1;0;0;0;0,31000319254310266;;;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0;;;215,0;215,0
45;1;0;1;1;0;1;1;1;1;0;1;0,4724650666591874;;566,0;638,0;638,0;;770,0;566,0;638,0;;102,0;638,0;355,0;;102,0;638,0;267,0;;811,0;267,0;267,0;;964,0;638,0;566,0;;19,0;566,0;355,0;770,0;663,0;566,0;638,0;663,0;74,0;638,0;638,0;770,0;811,0;566,0;638,0;;966,0
46;0;1;1;0;1;0;0;1;1;1;0;0,4518401304551242;;939,0;975,0;633,0;18,0;18,0;975,0;687,0;18,0;18,0;280,0;633,0;18,0;18,0;975,0;633,0;18,0;18,0;975,0;633,0;18,0;18,0;975,0;687,0;18,0;211,0;975,0;687,0;18,0;18,0;975,0;975,0;18,0;18,0;975,0;280,0;18,0;18,0;975,0;687,0;18,0;18,0
47;0;1;0;1;0;0;0;1;0;1;0;0,3306476551031879;;538,0;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;;538,0;;;
48;0;0;0;1;0;1;0;1;1;0;1;0,4401104762830242;385,0;385,0;385,0;385,0;385,0;385,0;0,0;385,0;;385,0;525,0;385,0;385,0;243,0;385,0;385,0;349,0;385,0;525,0;0,0;385,0;385,0;385,0;0,0;;349,0;0,0;385,0;385,0;243,0;525,0;0,0;385,0;281,0;525,0;0,0;385,0;385,0;525,0;0,0;385,0;385,0
49;0;1;0;1;1;1;1;1;0;0;1;0,28426731393890314;;442,0;3,0;442,0;158,0;540,0;752,0;692,0;540,0;540,0;442,0;692,0;;158,0;3,0;442,0;540,0;158,0;3,0;442,0;404,0;158,0;3,0;685,0;540,0;1,0;752,0;685,0;158,0;1,0;442,0;442,0;1,0;540,0;752,0;685,0;371,0;404,0;442,0;442,0;1,0;1,0
50;1;1;0;1;1;0;1;0;0;0;1;0,22705042327503466;220,0;198,0;388,0;388,0;220,0;220,0;388,0;388,0;198,0;220,0;388,0;388,0;198,0;198,0;388,0;388,0;220,0;220,0;388,0;388,0;198,0;220,0;388,0;388,0;198,0;220,0;388,0;388,0;198,0;198,0;388,0;388,0;198,0;220,0;388,0;388,0;220,0;198,0;388,0;388,0;220,0;220,0
51;1;0;0;0;0;1;0;0;1;0;1;0,38693823911513386;;732,0;449,0;819,0;608,0;580,0;449,0;806,0;580,0;608,0;819,0;732,0;608,0;62,0;732,0;732,0;608,0;256,0;732,0;806,0;256,0;608,0;732,0;819,0;580,0;608,0;732,0;732,0;608,0;580,0;753,0;806,0;580,0;608,0;732,0;815,0;580,0;608,0;449,0;806,0;399,0;580,0
52;1;1;1;0;0;0;0;0;1;1;0;0,4128726158919169;;549,0;;;;792,0;;;;166,0;;;;;;;;;;;;;;;;792,0;;;;;;;;;;;295,0;;;;;792,0
53;1;1;1;1;1;0;0;1;0;0;0;0,2882491402532486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162,0
54;1;0;1;1;1;0;0;0;0;1;0;0,29223240294669844;;;780,0;;;;;;;;780,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;0;1;0;0;0;1;0;0;0;0;0;0,24651163320704805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1;0;1;0;0;1;1;1;0;1;1;0,4049984059390456;497,0;497,0;497,0;916,0;615,0;264,0;341,0;341,0;615,0;615,0;497,0;341,0;497,0;497,0;97,0;341,0;497,0;497,0;794,0;497,0;497,0;264,0;497,0;264,0;497,0;615,0;497,0;341,0;497,0;497,0;794,0;264,0;497,0;615,0;497,0;775,0;264,0;264,0;521,0;497,0;300,0;615,0
57;0;1;1;1;1;1;0;1;0;0;1;0,2903540586091065;;214,0;214,0;843,0;321,0;145,0;442,0;67,0;321,0;571,0;67,0;843,0;321,0;145,0;67,0;67,0;321,0;571,0;214,0;67,0;321,0;145,0;67,0;187,0;321,0;571,0;67,0;67,0;321,0;145,0;67,0;843,0;571,0;321,0;214,0;67,0;571,0;571,0;214,0;843,0;571,0;145,0
58;1;0;0;0;0;0;0;1;1;0;1;0,4460203679236902;952,0;952,0;130,0;852,0;593,0;593,0;952,0;912,0;952,0;952,0;952,0;593,0;593,0;952,0;593,0;952,0;593,0;952,0;952,0;593,0;87,0;593,0;952,0;593,0;593,0;952,0;952,0;593,0;87,0;593,0;852,0;952,0;87,0;593,0;852,0;952,0;593,0;952,0;130,0;952,0;593,0;952,0
59;0;1;0;0;0;0;1;1;1;0;1;0,4180089434111755;;431,0;734,0;431,0;810,0;773,0;292,0;431,0;773,0;773,0;292,0;431,0;773,0;773,0;997,0;608,0;810,0;749,0;292,0;431,0;810,0;773,0;997,0;431,0;810,0;810,0;997,0;557,0;773,0;749,0;292,0;608,0;773,0;810,0;315,0;557,0;810,0;810,0;997,0;557,0;810,0;773,0
60;0;0;1;0;0;1;0;0;1;0;1;0,3925246784341295;519,0;519,0;265,0;519,0;519,0;308,0;924,0;519,0;519,0;519,0;924,0;519,0;308,0;519,0;265,0;519,0;266,0;266,0;265,0;519,0;519,0;519,0;265,0;519,0;519,0;519,0;519,0;519,0;519,0;266,0;924,0;519,0;266,0;519,0;519,0;519,0;519,0;519,0;519,0;519,0;266,0;308,0
61;1;1;1;0;0;1;0;1;0;0;0;0,32586903025945435;135,0;294,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;85,0;135,0;838,0;667,0;240,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0;135,0;667,0;135,0;135,0
62;1;0;1;0;0;0;0;1;0;1;0;0,3860005566300363;;;16,0;16,0;242,0;89,0;95,0;95,0;242,0;242,0;35,0;838,0;242,0;51,0;95,0;16,0;89,0;89,0;981,0;838,0;89,0;176,0;95,0;838,0;242,0;89,0;95,0;838,0;242,0;89,0;35,0;35,0;89,0;89,0;35,0;16,0;89,0;242,0;981,0;981,0;89,0;89,0
63;1;1;1;1;1;1;0;1;0;1;1;0,34228458454186883;;408,0;192,0;117,0;450,0;450,0;192,0;794,0;450,0;450,0;192,0;443,0;450,0;450,0;192,0;794,0;450,0;450,0;192,0;408,0;450,0;450,0;192,0;443,0;450,0;450,0;192,0;408,0;450,0;450,0;192,0;443,0;450,0;450,0;192,0;443,0;450,0;450,0;192,0;408,0;450,0;450,0
64;1;1;1;0;1;0;0;0;1;0;0;0,3430545776163697;;574,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;0;1;1;0;1;0;0;0;0;1;0;0,2697154949049158;;;687,0;491,0;;;633,0;470,0;;;633,0;470,0;;;491,0;491,0;;;633,0;491,0;;;491,0;491,0;;;687,0;470,0;;;687,0;491,0;;;633,0;633,0;;;491,0;491,0;;
66;0;0;0;1;1;1;0;1;0;1;0;0,34431077945092703;476,0;476,0;;476,0;;;614,0;476,0;;;;476,0;;;;476,0;;;;476,0;;;;476,0;;437,0;;476,0;;;;476,0;;;;476,0;;;;476,0;;
67;0;1;1;1;1;1;0;0;0;0;0;0,234140489704207;;;739,0;739,0;;;739,0;57,0;;;57,0;739,0;;;57,0;57,0;;;739,0;57,0;;;57,0;739,0;;;57,0;57,0;;;57,0;739,0;;;739,0;57,0;;;739,0;739,0;;
68;1;0;0;1;1;0;0;1;0;0;0;0,2979293216661976;373,0;;;;373,0;373,0;;;729,0;729,0;471,0;;178,0;373,0;;;373,0;373,0;;;373,0;373,0;;;373,0;373,0;;;178,0;373,0;;;373,0;373,0;;;373,0;373,0;;;373,0;178,0
69;1;0;0;0;0;0;1;0;0;0;0;0,27128910041520843;291,0;291,0;876,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;876,0;291,0;291,0;291,0;876,0;291,0;291,0;291,0;876,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0;291,0
70;1;1;0;1;1;1;0;1;1;0;1;0,3999345267632852;331,0;331,0;33,0;331,0;331,0;331,0;331,0;331,0;331,0;331,0;33,0;331,0;331,0;331,0;33,0;887,0;331,0;331,0;33,0;565,0;331,0;331,0;33,0;33,0;331,0;331,0;331,0;33,0;331,0;331,0;33,0;331,0;331,0;331,0;331,0;331,0;331,0;331,0;33,0;331,0;331,0;331,0
71;0;1;0;1;1;0;0;1;1;1;0;0,4283338026519684;735,0;735,0;735,0;735,0;735,0;623,0;735,0;735,0;735,0;712,0;975,0;735,0;175,0;735,0;735,0;975,0;735,0;467,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;467,0;467,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0;735,0
72;0;0;0;1;0;0;0;0;1;0;0;0,3589093378277296;989,0;989,0;81,0;989,0;989,0;989,0;81,0;989,0;989,0;989,0;338,0;81,0;989,0;989,0;81,0;81,0;989,0;989,0;989,0;81,0;989,0;989,0;989,0;989,0;989,0;989,0;338,0;81,0;989,0;989,0;81,0;81,0;989,0;989,0;81,0;989,0;989,0;989,0;338,0;989,0;989,0;989,0
73;1;0;1;0;1;1;0;0;1;0;1;0,3790021918544609;451,0;451,0;451,0;693,0;553,0;451,0;732,0;451,0;414,0;400,0;732,0;451,0;775,0;451,0;844,0;451,0;414,0;451,0;607,0;693,0;451,0;400,0;844,0;451,0;400,0;553,0;451,0;693,0;553,0;414,0;732,0;693,0;451,0;451,0;844,0;693,0;414,0;553,0;732,0;693,0;451,0;451,0
74;1;1;0;0;1;1;1;1;1;1;0;0,4657405788479229;;297,0;941,0;211,0;;15,0;941,0;211,0;;939,0;320,0;;;530,0;297,0;211,0;;111,0;;211,0;;530,0;320,0;;;309,0;297,0;211,0;;354,0;211,0;211,0;;45,0;;947,0;;740,0;297,0;211,0;;530,0
75;1;1;0;1;0;1;1;0;0;1;0;0,293290115082795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;0;1;1;0;0;0;1;0;1;0;0,3779300850408862;;;699,0;699,0;;;;;;;699,0;252,0;;;;252,0;;;699,0;699,0;;;699,0;;;;780,0;;;;780,0;;;;95,0;;;;699,0;;;
77;1;1;0;1;1;0;0;1;1;0;0;0,3884783407039389;;998,0;;;112,0;112,0;;280,0;112,0;112,0;;;112,0;112,0;;;112,0;112,0;;5,0;112,0;112,0;;;112,0;112,0;853,0;;112,0;112,0;;;112,0;112,0;;40,0;112,0;112,0;;40,0;112,0;112,0
78;0;1;0;1;1;1;1;1;0;0;1;0,28426731393890314;;263,0;752,0;685,0;540,0;158,0;3,0;685,0;;404,0;752,0;442,0;540,0;409,0;752,0;692,0;;540,0;442,0;685,0;540,0;540,0;263,0;442,0;158,0;158,0;263,0;692,0;1,0;409,0;3,0;692,0;540,0;409,0;3,0;692,0;;540,0;3,0;692,0;540,0;930,0
79;1;0;1;0;0;1;1;0;0;0;0;0,2934076080831681;;;;;;;;;;;;706,0;;;;706,0;;;;;;;;706,0;;;;;;;;706,0;;;;706,0;;;;;;
80;0;0;0;1;0;1;1;0;1;1;0;0,4260883070498717;;239,0;703,0;107,0;757,0;757,0;703,0;363,0;800,0;751,0;239,0;363,0;800,0;757,0;703,0;107,0;757,0;757,0;951,0;932,0;751,0;757,0;703,0;107,0;757,0;800,0;951,0;363,0;751,0;800,0;218,0;932,0;757,0;800,0;703,0;363,0;800,0;800,0;951,0;107,0;757,0;800,0
