_id;x1;x2;x3;x4;x5;x6;treated;ps;ss_pair;wnnem_pair;nn_euk_pair_01;nn_mah_pair_01;psm_02_pair_01;psm_dyn_pair_01;nn_euk_pair_02;nn_mah_pair_02;psm_02_pair_02;psm_dyn_pair_02;nn_euk_pair_03;nn_mah_pair_03;psm_02_pair_03;psm_dyn_pair_03;nn_euk_pair_04;nn_mah_pair_04;psm_02_pair_04;psm_dyn_pair_04;nn_euk_pair_05;nn_mah_pair_05;psm_02_pair_05;psm_dyn_pair_05;nn_euk_pair_06;nn_mah_pair_06;psm_02_pair_06;psm_dyn_pair_06;nn_euk_pair_07;nn_mah_pair_07;psm_02_pair_07;psm_dyn_pair_07;nn_euk_pair_08;nn_mah_pair_08;psm_02_pair_08;psm_dyn_pair_08;nn_euk_pair_09;nn_mah_pair_09;psm_02_pair_09;psm_dyn_pair_09;nn_euk_pair_10;nn_mah_pair_10;psm_02_pair_10;psm_dyn_pair_10
27;1;0;0;0;0;1;0;0,2726080071702801;486,0;;85,0;;486,0;85,0;486,0;;384,0;486,0;356,0;;178,0;384,0;178,0;;85,0;356,0;384,0;;356,0;384,0;356,0;;384,0;384,0;384,0;;178,0;85,0;178,0;;178,0;486,0;384,0;;486,0;384,0;486,0;;356,0;384,0
28;0;0;0;0;1;1;0;0,2031540736476335;;289,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0;1;1;0;1;0;0;0,25030325752296645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;1;1;1;1;0;0;0,4149003547110088;;433,0;;433,0;455,0;455,0;;455,0;433,0;303,0;;303,0;433,0;534,0;;455,0;534,0;455,0;;303,0;433,0;303,0;;433,0;534,0;303,0;;455,0;433,0;433,0;;433,0;303,0;433,0;;455,0;303,0;455,0;;303,0;455,0;455,0
31;0;1;1;1;0;0;0;0,2693041043775805;;565,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;0;0;1;0;0;1;0;0,21247414728306924;;201,0;;269,0;;;;201,0;;;;100,0;;;;201,0;;;;100,0;;;;100,0;;;;201,0;;;;201,0;;;;100,0;;;;100,0;;
33;1;1;1;0;1;1;1;0,4083868097694666;407,0;617,0;446,0;407,0;407,0;584,0;407,0;584,0;428,0;584,0;617,0;389,0;389,0;617,0;407,0;428,0;389,0;446,0;389,0;428,0;584,0;428,0;389,0;446,0;446,0;428,0;428,0;389,0;446,0;428,0;617,0;428,0;407,0;584,0;617,0;584,0;389,0;407,0;389,0;428,0;407,0;407,0
34;0;1;1;1;1;1;1;0,3413992654193282;672,0;393,0;672,0;95,0;8,0;672,0;82,0;95,0;672,0;672,0;393,0;95,0;672,0;82,0;393,0;672,0;95,0;672,0;95,0;82,0;8,0;82,0;672,0;82,0;95,0;672,0;672,0;672,0;95,0;82,0;672,0;82,0;95,0;672,0;672,0;95,0;8,0;82,0;95,0;82,0;95,0;8,0
35;1;0;1;1;1;1;1;0,3959782448576548;236,0;326,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0;231,0;521,0;231,0;231,0
36;0;0;1;1;1;0;0;0,2407433793322588;;166,0;;427,0;;;;427,0;;;;166,0;;;;427,0;;;;656,0;;;;656,0;;;;427,0;;;;166,0;;;;656,0;;;;656,0;;
37;0;0;1;0;0;1;0;0,21247414728306924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;0;0;0;1;1;1;0;0,2435555466319357;;;;337,0;;;;337,0;;;;173,0;;;;173,0;;;;173,0;;;;173,0;;;;337,0;;;;173,0;;;;337,0;;;;337,0;;
39;1;1;0;0;1;0;0;0,3168360725006976;;;449,0;;581,0;581,0;581,0;;581,0;581,0;581,0;;449,0;449,0;581,0;;449,0;449,0;581,0;;449,0;449,0;581,0;;581,0;581,0;581,0;;581,0;581,0;449,0;;449,0;581,0;449,0;;449,0;581,0;581,0;;581,0;449,0
40;0;1;1;1;0;1;0;0,31181707224316;392,0;;392,0;580,0;;;552,0;580,0;;;392,0;580,0;;;670,0;392,0;;;580,0;670,0;;;392,0;670,0;;;552,0;670,0;;;392,0;670,0;;;392,0;552,0;;;670,0;580,0;;
41;1;0;1;1;0;1;0;0,3642826211491781;;590,0;239,0;239,0;;;590,0;239,0;;;13,0;13,0;;;239,0;239,0;;;13,0;13,0;;;239,0;590,0;;;590,0;13,0;;;590,0;590,0;;;13,0;13,0;;;590,0;239,0;;
42;1;0;1;1;1;1;0;0,3959782448576548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1;1;1;1;1;1;0;0,4657473237537692;506,0;265,0;105,0;174,0;524,0;506,0;174,0;506,0;265,0;265,0;105,0;105,0;105,0;174,0;506,0;506,0;265,0;506,0;524,0;265,0;105,0;506,0;524,0;105,0;105,0;105,0;174,0;174,0;105,0;105,0;506,0;524,0;174,0;174,0;265,0;265,0;506,0;105,0;265,0;174,0;265,0;506,0
44;0;1;0;1;0;0;0;0,2333751968038737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;0;1;1;0;0;1;1;0,26404477799186865;67,0;1,0;544,0;67,0;622,0;1,0;537,0;67,0;1,0;1,0;537,0;67,0;1,0;1,0;537,0;185,0;1,0;1,0;544,0;67,0;622,0;622,0;537,0;67,0;622,0;1,0;537,0;185,0;622,0;622,0;537,0;185,0;1,0;1,0;537,0;67,0;1,0;622,0;544,0;185,0;1,0;622,0
46;1;0;1;1;1;1;0;0,3959782448576548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;1;1;0;1;1;1;0,4083868097694666;584,0;446,0;407,0;446,0;446,0;446,0;617,0;617,0;617,0;428,0;428,0;584,0;428,0;407,0;428,0;407,0;584,0;584,0;428,0;389,0;407,0;407,0;584,0;389,0;428,0;584,0;389,0;584,0;428,0;407,0;389,0;584,0;446,0;428,0;428,0;617,0;617,0;584,0;446,0;389,0;428,0;584,0
48;1;0;1;0;0;1;0;0,3121178494347399;;;77,0;;;;77,0;;;;77,0;;;;77,0;;;;77,0;;;;588,0;;;;77,0;;;;588,0;;;;77,0;;;;588,0;;;
49;0;1;0;0;1;0;0;0,21615941276516426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;0;0;1;1;1;1;0,3512737743270781;699,0;699,0;699,0;699,0;119,0;119,0;479,0;699,0;119,0;555,0;479,0;119,0;699,0;699,0;500,0;119,0;500,0;699,0;699,0;362,0;555,0;555,0;699,0;362,0;555,0;119,0;362,0;699,0;500,0;699,0;500,0;119,0;500,0;500,0;119,0;699,0;119,0;119,0;479,0;183,0;555,0;699,0
51;0;0;1;0;0;1;0;0,21247414728306924;269,0;269,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;0;1;0;0;1;1;0;0,25318985659979104;;414,0;;665,0;;;;336,0;;;;414,0;;;;336,0;;;;414,0;;;;665,0;;;;414,0;;;;336,0;;;;665,0;;;;665,0;;
53;0;1;0;1;0;1;0;0,27233023077345325;;415,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;0;0;0;1;1;0;0,30009248760362195;;331,0;116,0;;331,0;315,0;116,0;;315,0;116,0;315,0;;331,0;116,0;315,0;;315,0;116,0;331,0;;331,0;331,0;116,0;;331,0;116,0;116,0;;315,0;315,0;331,0;;116,0;116,0;315,0;;315,0;116,0;116,0;;331,0;315,0
55;1;1;0;1;1;1;0;0,4186252130288907;639,0;233,0;639,0;233,0;493,0;639,0;639,0;639,0;571,0;639,0;571,0;233,0;314,0;684,0;233,0;493,0;233,0;684,0;684,0;483,0;684,0;493,0;493,0;639,0;233,0;430,0;639,0;684,0;320,0;314,0;320,0;320,0;233,0;684,0;430,0;430,0;314,0;493,0;233,0;684,0;314,0;684,0
56;0;0;1;0;0;0;1;0,17996361465425456;550,0;652,0;675,0;652,0;550,0;675,0;675,0;652,0;550,0;675,0;675,0;550,0;675,0;550,0;264,0;550,0;675,0;550,0;675,0;652,0;675,0;675,0;264,0;652,0;675,0;550,0;264,0;652,0;675,0;675,0;264,0;550,0;675,0;675,0;675,0;652,0;550,0;550,0;264,0;550,0;675,0;550,0
57;0;0;1;1;1;1;0;0,2804783395395821;322,0;582,0;582,0;366,0;582,0;582,0;366,0;582,0;474,0;156,0;366,0;582,0;322,0;322,0;474,0;582,0;322,0;474,0;474,0;474,0;474,0;582,0;156,0;474,0;156,0;156,0;582,0;156,0;474,0;366,0;322,0;322,0;322,0;582,0;474,0;582,0;582,0;366,0;366,0;366,0;474,0;156,0
58;0;1;1;0;1;0;0;0,25030325752296645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;0;0;1;1;0;1;0;0,2541379791261026;402,0;;683,0;368,0;501,0;368,0;501,0;402,0;422,0;422,0;402,0;683,0;567,0;567,0;402,0;402,0;567,0;567,0;368,0;683,0;683,0;422,0;501,0;567,0;567,0;402,0;368,0;368,0;683,0;402,0;501,0;368,0;83,0;501,0;567,0;422,0;402,0;567,0;368,0;83,0;422,0;368,0
60;0;0;0;0;1;0;0;0,1717585776071933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;0;1;0;0;1;1;0;0,25318985659979104;414,0;665,0;;;414,0;414,0;;;336,0;665,0;;;336,0;336,0;;;665,0;414,0;;;414,0;665,0;;;414,0;336,0;;;336,0;414,0;;;665,0;336,0;;;665,0;336,0;;;665,0;414,0
62;1;1;1;1;1;1;0;0,4657473237537692;;;265,0;;174,0;105,0;105,0;;524,0;105,0;174,0;;174,0;105,0;265,0;;174,0;174,0;105,0;;506,0;174,0;506,0;;265,0;506,0;265,0;;265,0;174,0;105,0;;265,0;105,0;105,0;;174,0;265,0;506,0;;174,0;174,0
63;1;0;1;0;0;0;0;0,2695799376398798;;688,0;170,0;107,0;688,0;688,0;454,0;107,0;454,0;170,0;170,0;657,0;170,0;454,0;454,0;107,0;657,0;657,0;107,0;107,0;107,0;454,0;170,0;107,0;454,0;657,0;107,0;107,0;170,0;688,0;688,0;657,0;688,0;170,0;688,0;170,0;170,0;657,0;170,0;170,0;170,0;657,0
64;0;0;0;1;1;0;0;0,20754258615629076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;0;1;0;1;1;1;1;0,2997982482783427;130,0;646,0;646,0;505,0;505,0;24,0;505,0;130,0;24,0;130,0;646,0;589,0;646,0;505,0;24,0;400,0;163,0;646,0;130,0;589,0;646,0;130,0;646,0;163,0;163,0;24,0;589,0;400,0;505,0;646,0;646,0;163,0;130,0;130,0;505,0;505,0;130,0;130,0;505,0;646,0;400,0;163,0
66;0;0;0;1;1;1;0;0,2435555466319357;337,0;;;;337,0;173,0;;;173,0;337,0;;;337,0;173,0;;;337,0;337,0;;;337,0;337,0;;;337,0;173,0;;;173,0;337,0;;;173,0;173,0;;;337,0;173,0;;;337,0;173,0
67;0;1;1;0;0;1;0;0,26404477799186865;45,0;;;45,0;;;;45,0;;;;45,0;;;;388,0;;;;45,0;;;;45,0;;;;388,0;;;;388,0;;;;45,0;;;;388,0;;
68;1;1;0;0;1;1;0;0,3631236349357641;144,0;692,0;692,0;;466,0;692,0;200,0;;200,0;692,0;200,0;;200,0;548,0;548,0;;466,0;200,0;548,0;;144,0;548,0;548,0;;692,0;466,0;466,0;;200,0;466,0;548,0;;692,0;200,0;548,0;;144,0;200,0;548,0;;200,0;692,0
69;1;1;0;1;0;0;1;0,3386063725773109;255,0;429,0;561,0;157,0;511,0;441,0;511,0;397,0;441,0;441,0;511,0;255,0;441,0;429,0;511,0;397,0;441,0;441,0;561,0;519,0;429,0;511,0;561,0;519,0;441,0;441,0;157,0;397,0;441,0;511,0;561,0;519,0;511,0;441,0;561,0;397,0;511,0;441,0;561,0;519,0;511,0;441,0
70;0;0;1;1;1;1;0;0,2804783395395821;156,0;;474,0;156,0;474,0;366,0;322,0;156,0;322,0;582,0;156,0;322,0;582,0;156,0;156,0;322,0;582,0;582,0;156,0;582,0;322,0;322,0;582,0;322,0;366,0;322,0;322,0;322,0;322,0;156,0;474,0;582,0;474,0;474,0;322,0;366,0;156,0;474,0;322,0;322,0;322,0;366,0
71;1;1;0;1;0;1;1;0,38627610533052;592,0;616,0;592,0;616,0;616,0;592,0;11,0;616,0;222,0;616,0;11,0;78,0;616,0;616,0;592,0;616,0;616,0;222,0;616,0;78,0;592,0;616,0;616,0;78,0;592,0;592,0;592,0;592,0;592,0;592,0;11,0;592,0;222,0;222,0;616,0;616,0;616,0;222,0;592,0;616,0;592,0;222,0
72;0;1;1;1;1;0;1;0,2965913043575981;327,0;327,0;406,0;406,0;369,0;406,0;405,0;327,0;406,0;406,0;406,0;369,0;406,0;406,0;405,0;406,0;406,0;327,0;406,0;369,0;406,0;405,0;406,0;369,0;406,0;327,0;406,0;406,0;406,0;369,0;406,0;327,0;369,0;406,0;406,0;327,0;406,0;327,0;405,0;369,0;327,0;405,0
73;0;1;0;0;0;1;0;0,2285980212034376;345,0;345,0;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;;345,0;;;
74;0;0;0;1;0;0;0;0,1862784907631384;;;302,0;;120,0;302,0;302,0;;302,0;302,0;120,0;;120,0;120,0;120,0;;302,0;302,0;302,0;;120,0;120,0;120,0;;120,0;120,0;120,0;;120,0;302,0;120,0;;302,0;120,0;120,0;;302,0;302,0;302,0;;302,0;302,0
75;1;0;1;1;0;1;0;0,3642826211491781;;;;590,0;;;;590,0;;;;239,0;;;;13,0;;;;590,0;;;;13,0;;;;239,0;;;;13,0;;;;590,0;;;;13,0;;
76;1;1;1;0;0;1;0;0,3763167570287944;235,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;1;0;1;0;0;1;1;0,3121178494347399;246,0;611,0;48,0;246,0;490,0;283,0;48,0;490,0;283,0;283,0;48,0;246,0;490,0;490,0;48,0;246,0;283,0;490,0;48,0;246,0;490,0;283,0;611,0;246,0;490,0;283,0;48,0;246,0;490,0;490,0;611,0;246,0;283,0;490,0;48,0;490,0;283,0;490,0;611,0;490,0;490,0;283,0
78;1;1;0;1;0;1;0;0,38627610533052;;125,0;;125,0;;673,0;;125,0;;186,0;;71,0;;150,0;;125,0;;150,0;;71,0;;595,0;;71,0;;186,0;;357,0;;125,0;;357,0;;150,0;;357,0;;595,0;;357,0;;595,0
79;0;0;0;1;0;1;0;0,21962428116898436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;0;0;0;1;0;1;0;0,21962428116898436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;0;1;1;0;0;1;0;0,26404477799186865;388,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;0;1;1;1;1;1;0;0,3413992654193282;509,0;386,0;386,0;509,0;569,0;509,0;34,0;569,0;509,0;386,0;569,0;509,0;509,0;34,0;386,0;386,0;569,0;569,0;569,0;34,0;386,0;34,0;569,0;34,0;509,0;386,0;386,0;386,0;509,0;34,0;569,0;34,0;569,0;569,0;509,0;509,0;386,0;34,0;569,0;34,0;509,0;509,0
83;0;0;1;1;0;1;1;0,2541379791261026;459,0;138,0;471,0;471,0;370,0;267,0;623,0;370,0;370,0;623,0;370,0;138,0;267,0;138,0;623,0;623,0;370,0;529,0;370,0;623,0;459,0;623,0;623,0;267,0;138,0;138,0;471,0;370,0;623,0;267,0;529,0;138,0;59,0;529,0;623,0;459,0;138,0;370,0;623,0;59,0;370,0;529,0
84;1;0;1;0;0;0;0;0,2695799376398798;;657,0;;454,0;454,0;107,0;;170,0;657,0;657,0;;454,0;688,0;657,0;;454,0;107,0;107,0;;170,0;170,0;107,0;;657,0;170,0;107,0;;454,0;107,0;170,0;;170,0;107,0;688,0;;107,0;107,0;454,0;;107,0;688,0;107,0
85;1;0;0;0;0;1;1;0,2726080071702801;141,0;210,0;27,0;612,0;141,0;27,0;424,0;643,0;210,0;210,0;109,0;262,0;210,0;141,0;424,0;643,0;27,0;612,0;109,0;424,0;141,0;612,0;141,0;109,0;210,0;141,0;424,0;643,0;141,0;27,0;141,0;109,0;141,0;612,0;141,0;109,0;141,0;210,0;424,0;612,0;612,0;612,0
86;0;0;1;0;1;1;0;0,2358617810900413;352,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;1;0;0;0;0;0;0;0,23362599616848306;;504,0;;;573,0;504,0;;;504,0;573,0;;;553,0;553,0;;;553,0;553,0;;;504,0;573,0;;;504,0;504,0;;;553,0;573,0;;;553,0;573,0;;;504,0;553,0;;;573,0;504,0
88;1;1;1;1;1;1;0;0,4657473237537692;;174,0;524,0;;;;265,0;;;;506,0;;;;174,0;;;;174,0;;;;174,0;;;;105,0;;;;524,0;;;;174,0;;;;105,0;;;
89;1;0;0;1;0;0;0;0,27797347546282425;;114,0;;354,0;;;;114,0;;;;354,0;;;;619,0;;;;619,0;;;;619,0;;;;472,0;;;;472,0;;;;619,0;;;;619,0;;
90;1;0;1;1;1;0;0;0,34778969588175784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;0;0;0;1;0;1;0;0,21962428116898436;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;;375,0;;;
92;0;0;0;1;0;0;0;0,1862784907631384;;302,0;120,0;;;;120,0;;;;302,0;;;;302,0;;;;120,0;;;;302,0;;;;302,0;;;;302,0;;;;302,0;;;;120,0;;;
93;0;0;1;0;1;0;0;0,2006846350133488;;279,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;0;1;1;1;0;1;0;0,31181707224316;;;;552,0;392,0;552,0;;392,0;392,0;552,0;;670,0;580,0;580,0;;552,0;580,0;392,0;;392,0;552,0;580,0;;392,0;670,0;580,0;;552,0;552,0;392,0;;552,0;670,0;580,0;;670,0;392,0;580,0;;670,0;392,0;552,0
95;0;1;1;1;1;1;0;0,3413992654193282;;;569,0;34,0;386,0;569,0;569,0;34,0;386,0;509,0;386,0;34,0;569,0;386,0;569,0;569,0;34,0;386,0;34,0;509,0;509,0;386,0;509,0;509,0;34,0;569,0;569,0;569,0;34,0;569,0;386,0;509,0;34,0;386,0;386,0;34,0;509,0;386,0;34,0;386,0;34,0;386,0
96;0;1;0;0;1;0;0;0,21615941276516426;;376,0;;;251,0;564,0;;;251,0;564,0;;;376,0;376,0;;;251,0;564,0;;;376,0;251,0;;;251,0;564,0;;;564,0;376,0;;;251,0;376,0;;;376,0;564,0;;;251,0;376,0
97;0;0;0;0;0;1;0;0,18223621119888045;390,0;;;133,0;;;;390,0;;;;133,0;;;;390,0;;;;390,0;;;;390,0;;;;133,0;;;;133,0;;;;390,0;;;;390,0;;
98;1;0;0;1;0;0;0;0,27797347546282425;114,0;;114,0;25,0;;;619,0;472,0;;;354,0;114,0;;;354,0;114,0;;;354,0;114,0;;;472,0;472,0;;;114,0;114,0;;;619,0;25,0;;;114,0;114,0;;;354,0;114,0;;
99;0;0;1;1;1;0;0;0,2407433793322588;;;656,0;;166,0;257,0;166,0;;427,0;656,0;656,0;;257,0;166,0;427,0;;656,0;427,0;656,0;;257,0;166,0;257,0;;656,0;656,0;166,0;;656,0;427,0;427,0;;257,0;257,0;257,0;;656,0;257,0;166,0;;427,0;166,0
100;0;0;1;0;0;1;1;0,21247414728306924;467,0;206,0;323,0;594,0;467,0;136,0;467,0;594,0;217,0;467,0;467,0;32,0;136,0;136,0;467,0;217,0;467,0;467,0;467,0;32,0;467,0;467,0;217,0;32,0;467,0;467,0;217,0;217,0;467,0;136,0;467,0;594,0;136,0;136,0;217,0;32,0;467,0;136,0;217,0;32,0;136,0;467,0
101;0;0;1;0;1;1;0;0,2358617810900413;364,0;364,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
